id,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4312538680119923,【转存！进阶办公小能手！90个实用Word快捷键】 #晚安北京#明天升旗时间07:17，降旗时间16:50；明天天气多云，气温1℃~9℃。①Ctrl+[ 缩小字号，Ctrl+] 扩大字号；②CTRL+L 左对齐，CTRL+E 居中，CTRL+R 右对齐，Ctrl+J 两端对齐；③Ctrl+2 设为双倍行距；④Ctrl+0：段前添加一行间距。晚安~ ,"https://wx4.sinaimg.cn/large/006Tq1RLly1fxr2hgsdlej30j60srgrh.jpg,https://wx1.sinaimg.cn/large/006QDlnKly1fxr2hgmqjfj30j60srq93.jpg,https://wx2.sinaimg.cn/large/006PU2omly1fxr2hgod8aj30j60srdlm.jpg,https://wx1.sinaimg.cn/large/006RQL0zly1fxr2hgqv99j30j60srn34.jpg,https://wx4.sinaimg.cn/large/006RQL0zly1fxr2hgnm5hj30j60sr7ab.jpg,https://wx3.sinaimg.cn/large/006PU2omly1fxr2hgntzfj30j60sr7ad.jpg,https://wx2.sinaimg.cn/large/e984f89fly1fxr2hh2g1tj20j60srn3b.jpg,https://wx3.sinaimg.cn/large/005GMHDnly1fxr2hh5o4aj30j60srgrk.jpg,https://wx4.sinaimg.cn/large/006Tq1RLly1fxr2hh2enoj30j60sr7a5.jpg",,,2018-12-01,政务直通车,17,2,20,晚安北京,
4312508502735828,【北京的冬天，依然四季如春的地方】#美丽北京·乐活#北京的天儿越来越冷了，有没有特别想念温暖的夏天呢？告诉你一些地方，那里花正好，温暖如春↓↓【乐活】北京的冬天，依然四季如春的地方 ,,,,2018-12-01,政务直通车,19,2,19,美丽北京·乐活,
4312463200213866,【本市出台民办教育培训机构办学标准】#教育#不得使用住宅或地下室为办学场所，不得举办或变相举办各类中小学生等级考试、竞赛及进行排名，下课时间不得晚于晚8点半，不得聘用中小学在职教师……昨天，《北京市民办教育培训机构办学标准（暂行）》发布，进一步规范本市民办非学历教育培训机构发展秩序 ...全文,https://wx4.sinaimg.cn/large/902ace4bly1fxrco2uuk5j20dc31h151.jpg,,,2018-12-01,政务直通车,3,3,9,教育,
4312457080061690,【中关村知识产权故事 | 走进康辰药业：立足创新药 从“中国新”到“全球新”】中关村国家知识产权制度示范园区成立15周年之际，我们一起走进示范园区，了解园区企业创新精神、创业历程及知识产权保护工作。今天，让我们了解一下康辰药业的创新故事。（via@北京知识产权 ） ,https://wx2.sinaimg.cn/large/902ace4bly1fxrbys7b4gj20hs54kb29.jpg,,,2018-12-01,政务直通车,6,0,4,,北京知识产权
4312440546099513,【地铁28号线延至广渠东路】#城市运行#伴随着线路走向和设站情况发生变化，地铁CBD线升级为北京地铁28号线。地铁28号线的路线、长度和设站情况都发生了变化。其中，线路全长由过去6.46公里延长到8.77公里，车站数量也从8站增加到了9站，快看看变化↓↓【交通】地铁28号线（CBD线）最新规划曝光！设9站，延长2公里 ,,,,2018-12-01,政务直通车,15,20,15,城市运行,
4312435932241033,#40位老外看北京变迁#第二十二集《漂洋过海来喝酒》。路易斯·阿斯怡鲁，来自埃塞俄比亚，在北京生活30年了。刚开始，他对北京的二锅头味道根本不能适应，而现在一次能喝六两。他说，喝酒不是为了喝醉，而是交流感情，这是北京酒文化……他非常喜欢北京，希望一生都在北京居住。#致敬40年# 北京发布的秒拍视频,,,,2018-12-01,搜狗高速浏览器,5,8,35,"40位老外看北京变迁,致敬40年",
4312417897072055,【今天起，除6处限时专用上下客区位外——二环内路侧禁停旅游大巴】#提示#今天起，本市启动核心区旅游客车治理，前门、故宫及什刹海等景点较为集中的区域为治理重点。此次治理将规范设置旅游客车上下客区位，限时停靠10分钟供上下游客。 ,https://wx1.sinaimg.cn/large/902ace4bly1fxr7gsgoluj20er2ddqed.jpg,,,2018-12-01,政务直通车,7,4,3,提示,
4312395243539910,【共同守护绿水青山 携手推动高质量发展】#聚焦北京#昨天下午，本市召开生态涵养区与平原区结对协作框架协议签署工作会。市委书记蔡奇强调，各区要认真落实协议内容，共同守护绿水青山，携手推动高质量发展。市委副书记、市长陈吉宁，市人大常委会主任李伟，市政协主席吉林出席。 ,https://wx2.sinaimg.cn/large/902ace4bly1fxr4v43a3ij20e31c9wke.jpg,,,2018-12-01,政务直通车,10,2,12,聚焦北京,
4312384313721965,【市委召开第四次区委书记月度工作点评会】#聚焦北京#昨天下午，市委召开区委书记月度工作点评会。区委书记迎来“雷打不动”月考。房山、怀柔、延庆三个区的区委书记依次汇报工作亮点、剖析工作不足，并接受市委书记蔡奇现场点评。市委副书记、市长陈吉宁，市人大常委会主任李伟，市政协主席吉林参加。 ...全文,,,,2018-12-01,政务直通车,1,3,3,聚焦北京,
4312357490643266,【转存！羽绒服怎么挑？牢记这5点！】①羽绒分为“羽”和“绒”，相同克数的羽绒，含绒量越高越保暖；②鹅绒的保暖性较鸭绒更好；③按压或手攥之后，回弹快的羽绒品质好；④手感柔软能摸到少量细小毛梗的，品质好；若摸到较多较硬毛梗，或压根摸不到，品质不好；⑤轻轻拍打，看是否会钻绒。 ...全文,,"http://f.us.sinaimg.cn/002VXWwJlx07pws0TouA01040200rdyx0k010.mp4?label=mp4_hd&template=640x480.28.0&Expires=1566187107&ssig=lNBvTJV2Yf&KID=unistore,video",,2018-12-01,政务直通车,13,3,25,,
4312342378301042,【朝阳海淀700小区供水管网改造】#美丽北京·民生#朝阳、海淀一批小区即将用上市政自来水。市发改委近日批复了朝阳区、海淀区共709个小区的自备井置换和老旧小区内部供水管网改造项目，通过管线改造，加装流量计、水表等配套设施，为居民解决“最后一公里”的供水问题。 ,https://wx2.sinaimg.cn/large/902ace4bly1fxqysjm2qqj20e311cgpq.jpg,,,2018-12-01,政务直通车,4,0,3,美丽北京·民生,
4312312171150894,【努力】#北京您好#今天周六，车辆不限行；天气多云，气温-2℃~7℃。人生从来就是不进则退，与其等到来不及的时候懊悔，不如现在就开始努力！早安！ ,https://wx4.sinaimg.cn/large/902ace4bly1fxqvbnpmqjj20dw099jsd.jpg,,,2018-12-01,政务直通车,19,3,10,北京您好,
4307102874862973,【实用！衣物收纳、空间整理技巧】#晚安北京#明天升旗时间07:01，降旗时间16:57；明天天气多云转晴-2℃~9℃。“怦然心动的人生整理魔法”，教你最节省空间的收纳方法和折叠方法！等周末行动起来吧！晚安~ ,"https://wx3.sinaimg.cn/large/006U5VYCly1fx9okt67i7j30c80gojsz.jpg,https://wx4.sinaimg.cn/large/006TgztZly1fx9oktacowj30c80fuaba.jpg,https://wx2.sinaimg.cn/large/006SJmC1ly1fx9okt43bcj30c80go0ua.jpg,https://wx2.sinaimg.cn/large/006TgztZly1fx9oktfnlfj30c80go75s.jpg,https://wx4.sinaimg.cn/large/006TgztZly1fx9okte19cj30c80g4jsg.jpg,https://wx1.sinaimg.cn/large/006T9jGNly1fx9okt62j7j30c80godgw.jpg,https://wx1.sinaimg.cn/large/006ThqyJly1fx9okt2nmgj30c80gowfh.jpg,https://wx1.sinaimg.cn/large/006SJmC1ly1fx9okt673yj30c80gojsk.jpg,https://wx2.sinaimg.cn/large/006ThqyJly1fx9okta4mxj30c80go759.jpg",,,2018-11-16,政务直通车,13,2,17,晚安北京,
