id,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4312557076727177,#晚安青岛# 愿时光能缓，愿故人不散。晚安啦～ #打卡第二十天# ,https://wx3.sinaimg.cn/large/8575b0b5ly1fxrng7yfmkj20k00qowf4.jpg,,,2018-12-01,小米6X 拍人更美,11,5,3,"晚安青岛,打卡第二十天",
4312543852227740,【#95后求职不问工资#，关心有无健身房下午茶】今年毕业生已经是“95后”，由于生活条件相对优渥，“高薪”不是他们唯一的参考标准。有毕业生认为，就算有高薪，而工作强度大、透支身体，也不会选择；有的则更关心有无员工活动场所，比如健身房、茶歇时间等。你找工作更看重什么？（中国新闻网） ...全文,"https://wx2.sinaimg.cn/large/8575b0b5ly1fxrlxj3q15j206i06qweh.jpg,https://wx4.sinaimg.cn/large/8575b0b5ly1fxrlxjaz4nj20b40b4q30.jpg",,,2018-12-01,小米6X 拍人更美,8,4,0,95后求职不问工资,
4312533969720416,【明日国考，收好这份考场应急手册！】①网上打印准考证：11月26日00:00-12月2日12:00；②公共科目笔试：12月2日9:00-11:00行测，14:00-17:00申论；③笔试成绩查询：2019年1月中下旬。你准备好了吗？考前准备、考场流程、突发应对↓↓ 转发提醒，#国考加油#！ （via.@人民网）   ,"https://wx1.sinaimg.cn/large/8575b0b5ly1fxrkshmmcgj20c80dwq3l.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrksi2kh4j20c80dwq3i.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrksib2xfj20c80go751.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrksijp8xj20c80dwq3i.jpg,https://wx3.sinaimg.cn/large/8575b0b5ly1fxrksircdhj20c80fudgl.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrksiz1msj20c80dwwf7.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrksj7ef9j20c80dwq3l.jpg,https://wx4.sinaimg.cn/large/8575b0b5ly1fxrksje047j20c80gowfb.jpg,https://wx2.sinaimg.cn/large/8575b0b5ly1fxrksolm8bj20c80csaak.jpg",,,2018-12-01,小米6X 拍人更美,2,0,3,国考加油,人民网
4312528345809956,#青岛人爱分享# 【4个让手臂更加纤细的动作】4个让手臂更加纤细的动作，过程中不要依靠惯性去完成，学会肌肉发力。其中融合了几个美丽芭蕾的动作，你敢挑战吗？花房里的孙小瓜的秒拍视频 ,,"http://f.us.sinaimg.cn/002EtC7Plx07p2eiFDbG01040203bZYA0k030.mp4?label=mp4_720p&template=1280x720.20.0&Expires=1566190470&ssig=o2air%2BmuhN&KID=unistore,video",,2018-12-01,微博 weibo.com,5,0,4,青岛人爱分享,
4312520548315101,#青岛城事# 去用脚步丈量青岛，走完青岛这55公里，寻找不一样的自己via@青岛生活杂志 ,"https://wx3.sinaimg.cn/large/8575b0b5ly1fxrhzjwk0ej20dc1h4tvs.jpg,https://wx2.sinaimg.cn/large/8575b0b5ly1fxrhzp72p2j20dc4o0b2b.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrhzqntx6j20dc1bde4p.jpg,https://wx2.sinaimg.cn/large/8575b0b5ly1fxrhzsvrelj20dc232e81.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrhzvntqhj20dc1ezwyo.jpg,https://wx2.sinaimg.cn/large/8575b0b5ly1fxrhzx1uv9j20dc0z2tog.jpg,https://wx3.sinaimg.cn/large/8575b0b5ly1fxrhzz8svdj20dc25ykjl.jpg,https://wx4.sinaimg.cn/large/8575b0b5ly1fxri01btyvj20dc2mwe81.jpg,https://wx3.sinaimg.cn/large/8575b0b5ly1fxri03atczj20dc0y4qjk.jpg",,,2018-12-01,微博 weibo.com,21,4,32,青岛城事,青岛生活杂志
4312520355274559,#青岛人爱分享# 【鱼除了拿来吃还能做什么？带你看鱼拓非遗传人用真鱼作画】55岁的于钦源来自山东高密，是鱼拓非物质文化遗产的传承人。鱼拓是一种将鱼的形象用墨汁或颜料拓印到纸上的艺术。于钦源说，鱼拓可以真实地反映鱼的鳞片纹理，准确地将细节表现出来。他认为，虽然拓印现在是小众艺术，但未来 ...全文,,http://gslb.miaopai.com/stream/bmbrT6uU6lLQ3MVJVQq-5FLF-t1RP469J2h43Q__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_720p&mpflag=32,,2018-12-01,360安全浏览器,9,2,2,青岛人爱分享,
4312515007166891,【土豆焖鸡翅】土豆简直是万能的配菜啊，搭配鸡翅也很不错呢~晚饭试试吧~ ,"https://wx3.sinaimg.cn/large/8575b0b5ly1fxrhx91jv3j20go0p4e7x.jpg,https://wx4.sinaimg.cn/large/8575b0b5ly1fxrhxa4cd8j20j60lj4c2.jpg,https://wx2.sinaimg.cn/large/8575b0b5ly1fxrhxc5gnyj20j60ljds1.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrhxerlamj20j60ljk4k.jpg,https://wx3.sinaimg.cn/large/8575b0b5ly1fxrhxh3exxj20j60ljanr.jpg,https://wx3.sinaimg.cn/large/8575b0b5ly1fxrhxj1wj5j20j60lj7h0.jpg,https://wx2.sinaimg.cn/large/8575b0b5ly1fxrhxl3q0uj20j60lj4bi.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxrhxn82msj20j60lj175.jpg,https://wx3.sinaimg.cn/large/8575b0b5ly1fxrhxpofdzj20j60lj4dn.jpg",,,2018-12-01,微博 weibo.com,3,4,5,,
4312512239302672,#青岛交通# 定了！按照计划12月20日，青连铁路将具备开通条件，未来从青岛西站出发可2小时到达京津冀，3小时到达长三角。青连铁路开通在即，11月2日中国铁路总公司，完成对全国铁路运行图调整，目前，济南铁路局已完成管区内铁路运行图调整。via.@大众日报 ,https://wx2.sinaimg.cn/large/8575b0b5ly1fxrhuhyx8oj20j60pk1kx.jpg,,,2018-12-01,微博 weibo.com,34,36,17,青岛交通,大众日报
4312508141198597,#青岛城事# 【青岛 : 家门口可为爱犬打疫苗，关于狂犬病这些事儿你得知道！】从今天起，我市公安机关开展养犬管理专项整治，为期一个月，同时，为方便养犬市民为爱犬注射疫苗，今天市畜牧局组织宠物医院开展免疫进社区活动，居民在家门口就可免费给爱犬注射狂犬病疫苗。 （蓝睛-青岛新闻中心） ...全文,,"http://f.us.sinaimg.cn/003BmYAJlx07pDev2qbS01040200jxkl0E010.mp4?label=mp4_hd&template=640x352.28.0&Expires=1566190471&ssig=%2FYFoLm2xPe&KID=unistore,video",,2018-12-01,360安全浏览器,7,2,2,青岛城事,
4312486569690169,【“救命药”以前要花四万八， 现在只需一千五 青岛开出首张国家谈判抗癌药物处方】昨日上午，淋巴瘤患者邵先生在青岛市中心医院拿到抗肿瘤靶向药物伊布替尼，这是我市开出的首张国家谈判抗癌药物处方。“救命药”以前要花四万八， 现在只需一千五 via.@青岛日报官方微博 ,https://wx2.sinaimg.cn/large/8575b0b5ly1fxrhs0cioqj20go0ci3zg.jpg,,,2018-12-01,微博 weibo.com,66,8,16,,青岛日报官方微博
4312471474306523,#青岛城事# 【青岛海鲜哪里买？这条海鲜购买攻略不看后悔！】10个海鲜购买圣地，让你吃吃吃吃不停via.@青岛生活杂志 ,"https://wx4.sinaimg.cn/large/8575b0b5ly1fxr6q3sgaxj20bf06wafy.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxr6q5zvbnj20dc1dhnf3.jpg,https://wx1.sinaimg.cn/large/8575b0b5ly1fxr6r5c075g209m06fael.gif,https://wx2.sinaimg.cn/large/8575b0b5ly1fxr6qlvnluj20dc1f4wz4.jpg,https://wx2.sinaimg.cn/large/8575b0b5ly1fxr6r5hpo5g20go0b6wp7.gif,https://wx2.sinaimg.cn/large/8575b0b5ly1fxr6qof383j20dc1hatxg.jpg,https://wx4.sinaimg.cn/large/8575b0b5ly1fxr6r677log20b406w4qp.gif,https://wx2.sinaimg.cn/large/8575b0b5ly1fxr6qqo478j20dc1cutt7.jpg,https://wx4.sinaimg.cn/large/8575b0b5ly1fxr6qxwfumj20dc1eanhi.jpg",,,2018-12-01,微博 weibo.com,17,4,31,青岛城事,青岛生活杂志
